Type,ID,Latitude,Longitude,Depth_m
SN,SN1,-33.047160640494624,-71.60496714610193,24.561070266148732
SN,SN2,-33.05079912814208,-71.61428103801707,13.079279007872332
SN,SN3,-33.050913601759035,-71.6174606455185,17.726654354918242
SN,SN4,-33.04904378361218,-71.61253646518225,18.469009391665047
SN,SN5,-33.045897766014164,-71.61219898473318,17.821825930264424
SN,SN6,-33.04781933451597,-71.61373239037108,12.136702102039413
SN,SN7,-33.04696593762655,-71.61487739585262,10.238619469242849
SN,SN8,-33.04394760866204,-71.61359531529773,13.043055307758841
SN,SN9,-33.044973175033306,-71.60561470252286,23.463484711013237
SN,SN10,-33.042102559295245,-71.61718878454039,9.147557641359601
BG,BG1,-33.04736774867732,-71.61670538285212,0
